33	33	Fall	2016	CHRISTOPHER LANGMEAD	CB	2450	AUTMTN BILOGL RESRCH	A	Lect	1	6	17%	8	5	5	5	5	5	5	5	5	5	2016.8	02450 - AUTMTN BILOGL RESRCH
34	34	Spring	2013	ZIV BAR-JOSEPH	CB	2510	COMPUTATNL GENOMICS	A	Lect	2	3	67%	8	2.5	4.5	4	2	5	4.5	4	3.5	3.5	2013.1	02510 - COMPUTATNL GENOMICS
35	35	Spring	2015	ZIV BAR-JOSEPH	CB	2510	COMPUTATNL GENOMICS	A	Lect	3	5	60%	7	4.33	3.67	4.67	4.67	4.33	4	4.33	4	4	2015.1	02510 - COMPUTATNL GENOMICS
36	36	Fall	2016	VALENTIN ILYIN	CB	2510	COMPUTATNL GENOMICS	W	Lect	3	4	75%	9	4	4	4	4	4	3.67	5	4	3.67	2016.8	02510 - COMPUTATNL GENOMICS
37	37	Spring	2016	SE YOUNG KIM	CB	2510	COMPUTATNL GENOMICS	A	Lect	2	4	50%	12.5	1.5	1.5	2	1	1.5	1.5	2	1.5	1	2016.1	02510 - COMPUTATNL GENOMICS
38	38	Fall	2014	RUSSELL SCHWARTZ	CB	2512	CMPL MTH BIO MDL SMT	A	Lect	1	2	50%	14	4	5	5	4	4	4	5	4	5	2014.8	02512 - CMPL MTH BIO MDL SMT
39	39	Fall	2016	RUSSELL SCHWARTZ	CB	2512	CMPL MTH BIO MDL SMT	A	Lect	2	3	67%	8	5	5	5	5	5	5	5	5	5	2016.8	02512 - CMPL MTH BIO MDL SMT
40	40	Spring	2014	CARLETON KINGSFORD	CB	2513	ALGTH & DATA STRUCTR	A	Lect	3	3	100%	9	3.67	4	4	4	4	4	4.33	4.33	4	2014.1	02513 - ALGTH & DATA STRUCTR
41	41	Spring	2013	CARLETON KINGSFORD	CB	2513	ALGTH & DATA STRUCTR	A	Lect	4	8	50%	8	3.75	4	3.75	3.5	4	3.75	4.25	3.75	3.75	2013.1	02513 - ALGTH & DATA STRUCTR
42	42	Spring	2016	WU	CB	2518	COMP MEDICINE	A	Lect	4	3	67%	9.5	5	5	5	5	5	5	5	5	5	2016.1	02518 - COMP MEDICINE
44	44	Fall	2013	CHRISTOPHER LANGMEAD	CB	2530	CELL SYSTMS MODELING	1	Lect	3	3	67%	15.33	4.67	4.33	4.67	5	4.67	4.33	4.33	4.67	5	2013.8	02530 - CELL SYSTMS MODELING
46	46	Fall	2015	PHILLIP COMPEAU	CB	2601	PRGRMMING SCIENTISTS	A	Lect	15	24	63%	14.2	4.27	4.27	4.2	3.93	4.14	4.2	4.67	3.93	3.93	2015.8	02601 - PRGRMMING SCIENTISTS
47	47	Fall	2016	PHILLIP COMPEAU	CB	2601	PRGRMMING SCIENTISTS	1	Lect	22	23	96%	12.86	4.14	4.27	4.36	3.77	4.32	4.5	4.18	4.27	4.18	2016.8	02601 - PRGRMMING SCIENTISTS
48	48	Fall	2014	CARLETON KINGSFORD	CB	2601	PRGRMMING SCIENTISTS	A	Lect	27	39	69%	12	4.52	4.41	4.48	4.33	4.63	4.41	4.81	4.37	4.48	2014.8	02601 - PRGRMMING SCIENTISTS
49	49	Spring	2015	THICKMAN	CB	2602	PROF ISSUES COMP BIO	A	Lect	14	14	50%	5.87	4.14	4.14	4.14	4.29	4.14	4	4.29	4	3.64	2015.1	02602 - PROF ISSUES COMP BIO
51	51	Fall	2015	SUBRAMANIAN	CB	2602	PROF ISSUES COMP BIO	A	Lect	22	26	42%	2.28	4.09	4.32	4.19	4.27	4.13	4.04	4.04	3.87	4	2015.8	02602 - PROF ISSUES COMP BIO
53	53	Spring	2016	PHILLIP COMPEAU	CB	2604	FUNDAMENTALS BIOINF	A	Lect	6	7	86%	19	4.83	4.67	4.83	4.67	4.67	4.83	5	4.67	4.5	2016.1	02604 - FUNDAMENTALS BIOINF
54	54	Fall	2016	JIAN MA	CB	2613	ALGR & ADV DTA STRC	A	Lect	40	42	95%	10.82	3.67	3.95	4.05	3.38	3.8	3.52	4.38	3.46	3.5	2016.8	02613 - ALGR & ADV DTA STRC
55	55	Fall	2014	CARLETON KINGSFORD	CB	2613	ALGR & ADV DTA STRC	A	Lect	43	58	74%	13.26	4.56	4.58	4.63	4.38	4.65	4.67	4.88	4.53	4.56	2014.8	02613 - ALGR & ADV DTA STRC
56	56	Fall	2015	CARLETON KINGSFORD	CB	2613	ALGR & ADV DTA STRC	A	Lect	45	69	65%	12.6	4.4	4.53	4.56	4.27	4.33	4.36	4.62	4.24	4.29	2015.8	02613 - ALGR & ADV DTA STRC
57	57	Fall	2011	VU	CB	2651	NW TCHNLG FTR MRKTS	A	Lect	8	4	100%	12.75	3.83	3.71	4.08	3.96	3.96	3.71	3.96	3.71	3.71	2011.8	02651 - NW TCHNLG FTR MRKTS
59	59	Fall	2014	DU (JOHN) VU	CB	2651	NW TCHNLG FTR MRKTS	A	Lect	28	42	67%	10.3	4.96	4.89	4.93	4.93	4.93	4.96	4.96	4.89	4.93	2014.8	02651 - NW TCHNLG FTR MRKTS
60	60	Fall	2012	DU (JOHN) VU	CB	2651	NW TCHNLG FTR MRKTS	A	Lect	12	17	71%	9.36	4.42	4	4.17	4.33	4.33	4.25	4.25	4.17	4.17	2012.8	02651 - NW TCHNLG FTR MRKTS
61	61	Fall	2015	DU (JOHN) VU	CB	2651	NW TCHNLG FTR MRKTS	A	Lect	23	31	74%	8.09	4.87	4.74	4.83	4.83	4.87	4.7	4.91	4.78	4.65	2015.8	02651 - NW TCHNLG FTR MRKTS
62	62	Fall	2013	DU (JOHN) VU	CB	2651	NW TCHNLG FTR MRKTS	A	Lect	22	30	73%	7.62	4.41	4.23	4.27	4.14	4.36	4.36	4.59	4.18	3.95	2013.8	02651 - NW TCHNLG FTR MRKTS
63	63	Fall	2016	DU (JOHN) VU	CB	2651	NW TCHNLG FTR MRKTS	A	Lect	23	33	70%	7.18	4.61	4.57	4.61	4.48	4.52	4.57	4.57	4.48	4.43	2016.8	02651 - NW TCHNLG FTR MRKTS
64	64	Fall	2011	VU	CB	2652	OPPORTUNS BIOTECHNGY	A1	Lect	8	8	50%	10.25	4.75	4.88	4.88	4.75	5	5	4.88	4.88	4.62	2011.8	02652 - OPPORTUNS BIOTECHNGY
66	66	Fall	2014	KAREN THICKMAN	CB	2652	FUNDMNTL BIOTECHNLGY	A	Lect	19	23	83%	14.33	4.53	4.58	4.42	4.68	4.47	4.53	4.53	4.37	4.37	2014.8	02652 - FUNDMNTL BIOTECHNLGY
67	67	Spring	2013	DU (JOHN) VU	CB	2652	OPPORTUNS BIOTECHNGY	A3	Lect	9	21	43%	6.67	4.22	4.11	4	4.11	4.11	4.33	4.33	4.33	4.22	2013.1	02652 - OPPORTUNS BIOTECHNGY
68	68	Fall	2013	DU (JOHN) VU	CB	2652	OPPORTUNS BIOTECHNGY	A	Lect	11	14	79%	10.27	4.64	4.73	4.55	4.55	4.45	4.64	4.73	4.55	4.55	2013.8	02652 - OPPORTUNS BIOTECHNGY
69	69	Fall	2015	ARMAGHAN NAIK	CB	2652	FUNDMNTL BIOTECHNLGY	A	Lect	20	28	71%	10.35	4.95	4.9	4.85	4.85	4.7	4.75	4.9	4.8	4.75	2015.8	02652 - FUNDMNTL BIOTECHNLGY
70	70	Fall	2015	DU (JOHN) VU	CB	2654	BIOTCHNG ENTRP DEVLP	A	Lect	30	41	73%	12.31	4.67	4.73	4.7	4.63	4.63	4.67	4.72	4.67	4.6	2015.8	02654 - BIOTCHNG ENTRP DEVLP
71	71	Fall	2014	DU (JOHN) VU	CB	2654	BIOTCHNG ENTRP DEVLP	A	Lect	11	14	79%	10	4.36	4.55	4.27	4.45	4.36	4.27	4.27	4.45	4.36	2014.8	02654 - BIOTCHNG ENTRP DEVLP
72	72	Fall	2012	DU (JOHN) VU	CB	2654	BIOTCHNG ENTRP DEVLP	A	Lect	5	8	63%	8	5	5	5	5	5	5	5	5	5	2012.8	02654 - BIOTCHNG ENTRP DEVLP
73	73	Fall	2016	DU (JOHN) VU	CB	2654	BIOTCHNG ENTRP DEVLP	A	Lect	15	31	48%	7.86	3.33	2.93	3.07	3.07	3.2	3.2	3.47	2.8	3	2016.8	02654 - BIOTCHNG ENTRP DEVLP
74	74	Fall	2013	DU (JOHN) VU	CB	2654	BIOTCHNG ENTRP DEVLP	A	Lect	7	16	44%	7.57	4.57	4.43	4.86	4.57	4.57	4.71	4.71	4.57	4.86	2013.8	02654 - BIOTCHNG ENTRP DEVLP
75	75	Spring	2015	ZIV BAR-JOSEPH	CB	2710	COMPUTATNL GENOMICS	A	Lect	9	15	60%	13.44	3.78	3.78	3.67	3.33	3.67	3.56	3.78	3.67	3.56	2015.1	02710 - COMPUTATNL GENOMICS
76	76	Spring	2013	ZIV BAR-JOSEPH	CB	2710	COMPUTATNL GENOMICS	A	Lect	5	11	45%	12.2	3.2	3.4	4	3	4.2	4.2	4	3.8	3.4	2013.1	02710 - COMPUTATNL GENOMICS
77	77	Spring	2014	ZIV BAR-JOSEPH	CB	2710	COMPUTATNL GENOMICS	A	Lect	2	5	40%	11	4	3.5	3.5	4	4	3.5	4.5	3.5	4	2014.1	02710 - COMPUTATNL GENOMICS
78	78	Spring	2011	ZIV BAR-JOSEPH	CB	2710	COMPUTATNL GENOMICS	A	Lect	8	15	53%	10.14	4.5	4.13	3.75	3.25	3.88	4.25	4.38	4	4.13	2011.1	02710 - COMPUTATNL GENOMICS
79	79	Spring	2016	SE YOUNG KIM	CB	2710	COMPUTATNL GENOMICS	A	Lect	22	30	73%	9.86	4.36	4	4	3.77	4.18	4.23	4.59	4.09	3.64	2016.1	02710 - COMPUTATNL GENOMICS
80	80	Spring	2012	SE YOUNG KIM	CB	2710	COMPUTATNL GENOMICS	A	Lect	6	10	60%	8.5	3.67	3.33	3	2.67	3.17	3.17	4.5	3.17	3.17	2012.1	02710 - COMPUTATNL GENOMICS
81	81	Spring	2010	Robert Murphy	CB	2710	COMPUTATNL GENOMICS	A	Lect	7	10	70%	9.29	3.86	4.14	4.14	3.71	4	4.14	4.33	4	4	2010.1	02710 - COMPUTATNL GENOMICS
82	82	Fall	2010	M DURAND	CB	2711	CMPT MOLC BLG GENMC	A	Lect	1	2	50%	11	4	5	5	5	5	5	5	5	5	2010.8	02711 - CMPT MOLC BLG GENMC
83	83	Fall	2016	M DURAND	CB	2711	CMPT MOLC BLG GENMC	A	Lect	6	8	75%	10.67	5	5	5	5	5	4.83	5	4.83	4.5	2016.8	02711 - CMPT MOLC BLG GENMC
84	84	Fall	2015	M DURAND	CB	2711	CMPT MOLC BLG GENMC	A	Lect	11	15	73%	10.55	5	4.82	4.82	4.73	4.73	4.73	4.73	4.64	4.55	2015.8	02711 - CMPT MOLC BLG GENMC
85	85	Fall	2014	M DURAND	CB	2711	CMPT MOLC BLG GENMC	A	Lect	11	15	73%	10.1	5	4.82	4.82	4.91	4.91	4.91	4.82	4.73	4.55	2014.8	02711 - CMPT MOLC BLG GENMC
86	86	Fall	2013	M DURAND	CB	2711	CMPT MOLC BLG GENMC	A	Lect	9	12	75%	9.78	5	4.67	4.67	4.67	4.67	5	4.89	5	4.44	2013.8	02711 - CMPT MOLC BLG GENMC
87	87	Fall	2011	M DURAND	CB	2711	CMPT MOLC BLG GENMC	A	Lect	3	7	43%	9	5	5	5	5	4.67	5	5	5	5	2011.8	02711 - CMPT MOLC BLG GENMC
88	88	Fall	2013	RUSSELL SCHWARTZ	CB	2712	CMPL MTHD BIO MDL SM	A	Lect	9	10	90%	16	4.22	4.38	4.33	4	4.44	4.44	4.78	4.67	4.44	2013.8	02712 - CMPL MTHD BIO MDL SM
89	89	Fall	2015	RUSSELL SCHWARTZ	CB	2712	CMPL MTHD BIO MDL SM	A	Lect	9	15	60%	15.89	4.78	4.89	5	4.67	5	4.89	4.89	4.78	4.78	2015.8	02712 - CMPL MTHD BIO MDL SM
90	90	Fall	2014	RUSSELL SCHWARTZ	CB	2712	CMPL MTHD BIO MDL SM	A	Lect	11	18	61%	14.45	4.27	4.55	4.55	4.09	4.3	4	4.73	4.18	4.27	2014.8	02712 - CMPL MTHD BIO MDL SM
