"","term","year","instructor","dept","course.id","course.name","section","type","responses","enrollment","resp.rate","hrs.per.week","interst.in.student.learning","exp.goals","clarity","provide.feedback","importance","exp.subject","respect","overall.teaching","overall.course","id.name","year.term"
"1","","2016","","","","Year of 2016","","","8310","17990","46%","9.78","4.44","4.21","4.24","4.2","4.37","4.29","4.48","4.28","4.21"," - Year of 2016"," "
"2","Summer","2016","JONATHAN KLINE","ARC","48708","SUSTNBLE URBNM STUDO","A","Lect","2","5","40%","20.5","4","4","4","3.5","4.5","4","3.5","3.5","3.5","48708 - SUSTNBLE URBNM STUDO","48708 Summer"
"3","Summer","2016","LOFTNESS, V. (co-taught)","ARC","48732","SUSTAIN DSGN SYNTHES","A","Lect","6","10","60%","27","5","5","4.83","4.83","5","5","5","4.83","4.83","48732 - SUSTAIN DSGN SYNTHES","48732 Summer"
"4","Summer","2016","COCHRAN, E. (co-taught)","ARC","48732","SUSTAIN DSGN SYNTHES","A","Lect","6","10","60%","27","4.5","4.67","4.83","4.67","4.83","4.67","4.67","4.5","4.5","48732 - SUSTAIN DSGN SYNTHES","48732 Summer"
"5","Summer","2016","ABDUL-AZIZ, A. (co-taught)","ARC","48732","SUSTAIN DSGN SYNTHES","A","Lect","6","10","60%","27","4.25","4.25","3.75","3.75","4","4","4","3.75","3.75","48732 - SUSTAIN DSGN SYNTHES","48732 Summer"
"6","Summer","2016","JANET FEINDEL","CFA","62310","ALEXANDER TECHNIQUE","S","Lect","2","3","67%","6.5","5","5","5","5","5","5","5","5","5","62310 - ALEXANDER TECHNIQUE","62310 Summer"
"7","Summer","2016","BEALE, M. (co-taught)","DES","51260","DESIGN FUNDAMENTALS","E","Lect","4","11","36%","19.5","4.5","5","4.75","4.5","4.75","4.75","5","4.5","5","51260 - DESIGN FUNDAMENTALS","51260 Summer"
"8","Summer","2016","VITONE, D. (co-taught)","DES","51260","DESIGN FUNDAMENTALS","E","Lect","4","11","36%","15.75","4.75","4.75","4.75","4.75","5","5","5","5","5","51260 - DESIGN FUNDAMENTALS","51260 Summer"
"9","Summer","2016","ROHRBACH, S. (co-taught)","DES","51260","DESIGN FUNDAMENTALS","E","Lect","4","11","36%","16.5","5","5","5","4.75","5","5","5","4.75","5","51260 - DESIGN FUNDAMENTALS","51260 Summer"
"10","Summer","2016","CHUNG, W. (co-taught)","DES","51260","DESIGN FUNDAMENTALS","E","Lect","4","11","36%","14.75","5","5","5","5","5","5","5","5","5","51260 - DESIGN FUNDAMENTALS","51260 Summer"
"11","Summer","2016","CHARLEE BRODSKY","DES","51397","PHOTO INDEPN STUDY","A","Lect","1","4","25%","5","5","5","5","5","5","5","5","5","5","51397 - PHOTO INDEPN STUDY","51397 Summer"
"12","Summer","2016","MARK DOMENCIC","MUS","57149","BASIC HARMONY I","S","Lect","2","4","50%","9.5","4","4.5","3.5","5","4.5","5","5","4.5","4.5","57149 - BASIC HARMONY I","57149 Summer"
"13","Summer","2016","PAUL JOHNSTON","MUS","57173","SURVEY WEST MUS HIST","S","Lect","1","3","33%","8","5","5","","","","","","","","57173 - SURVEY WEST MUS HIST","57173 Summer"
"14","Summer","2016","SCHULZ, R. (co-taught)","MUS","57341","SOUND RECORDING WRKS","E","Lect","5","9","56%","9.2","5","5","5","5","5","5","5","5","5","57341 - SOUND RECORDING WRKS","57341 Summer"
"15","Summer","2016","SULLIVAN, T. (co-taught)","MUS","57341","SOUND RECORDING WRKS","E","Lect","5","9","56%","9.2","4.6","4.8","4.8","4.6","4.6","4.6","5","4.6","4.8","57341 - SOUND RECORDING WRKS","57341 Summer"
"16","Spring","2016","HEATHER WORKINGER","ARC","48026","FRST YR SEM:ARCH ED","A","Lect","33","58","57%","4","4.48","4.48","4.64","4.18","4.33","4.27","4.84","4.45","4.3","48026 - FRST YR SEM:ARCH ED","48026 Spring"
"17","Spring","2016","KAI GUTSCHOW","ARC","48105","ARC DSGN STU: FDT II","1","Lect","31","58","53%","25.23","3.87","3.68","3.94","3.29","4.06","4.06","4.29","3.74","3.87","48105 - ARC DSGN STU: FDT II","48105 Spring"
"18","Spring","2016","SUHRBIER, K. (co-taught)","ARC","48105","ARC DSGN STU: FDT II","A","Lect","17","30","57%","24.24","4.76","4.59","4.59","4.82","4.71","4.71","4.82","4.76","4.71","48105 - ARC DSGN STU: FDT II","48105 Spring"
"19","Spring","2016","GUTSCHOW, K. (co-taught)","ARC","48105","ARC DSGN STU: FDT II","A","Lect","17","30","57%","23.88","3.94","4.19","4.25","3.69","4.25","4.25","4.56","4.19","4.44","48105 - ARC DSGN STU: FDT II","48105 Spring"
"20","Spring","2016","RANTTILA, A. (co-taught)","ARC","48105","ARC DSGN STU: FDT II","A","Lect","17","30","57%","23.88","4.81","4.63","4.56","4.75","4.56","4.44","4.88","4.69","4.63","48105 - ARC DSGN STU: FDT II","48105 Spring"
"21","Spring","2016","CRAIG, G. (co-taught)","ARC","48105","ARC DSGN STU: FDT II","A","Lect","17","30","57%","23.87","4.88","4.81","4.69","4.81","4.81","4.69","4.94","4.88","4.81","48105 - ARC DSGN STU: FDT II","48105 Spring"
"22","Spring","2016","GUTSCHOW, K. (co-taught)","ARC","48105","ARC DSGN STU: FDT II","B","Lect","14","28","50%","25.93","4.14","3.57","3.79","3.64","4.36","4.14","4.29","3.86","3.86","48105 - ARC DSGN STU: FDT II","48105 Spring"
"23","Spring","2016","PERRY, T. (co-taught)","ARC","48105","ARC DSGN STU: FDT II","B","Lect","14","28","50%","26","4.46","4.23","3.85","4","4.31","4.08","4.69","4.23","3.92","48105 - ARC DSGN STU: FDT II","48105 Spring"
"24","Spring","2016","LIADIS, N. (co-taught)","ARC","48105","ARC DSGN STU: FDT II","B","Lect","14","28","50%","26","4","3.54","3.54","3.08","3.46","3.38","3.92","3.23","3.38","48105 - ARC DSGN STU: FDT II","48105 Spring"
"25","Spring","2016","CELENTO, D. (co-taught)","ARC","48105","ARC DSGN STU: FDT II","B","Lect","14","28","50%","26.1","4.23","3.46","3.54","3.77","4.15","3.77","3.92","3.77","3.92","48105 - ARC DSGN STU: FDT II","48105 Spring"
"26","Spring","2016","MAN KIM","ARC","48125","DIG MEDIA II","13","Lect","27","58","47%","14.89","4.33","4.22","4.37","4.04","4.67","4.11","4.26","4.11","4.22","48125 - DIG MEDIA II","48125 Spring"
"27","Spring","2016","WILLIAM COOPER","ARC","48126","ANALOG MEDIA II","A4","Lect","35","59","59%","11.09","4.34","4.06","3.97","4.2","4.06","4.14","4.29","4.17","4.17","48126 - ANALOG MEDIA II","48126 Spring"
"28","Spring","2016","RAMESH KRISHNAMURTI","ARC","48175","DESC GEOMETRY","W","Lect","8","13","62%","19.13","4.25","3.88","4","3.63","4.25","3.88","4.63","3.38","3.5","48175 - DESC GEOMETRY","48175 Spring"
"29","Spring","2016","JEREMY FICCA","ARC","48205","ARC DSGN STU: EL II","1","Lect","21","48","44%","24.57","4.76","4.57","4.57","4.76","4.81","4.62","4.76","4.71","4.52","48205 - ARC DSGN STU: EL II","48205 Spring"
"30","Spring","2016","JEFFERY KING","ARC","48205","ARC DSGN STU: EL II","A","Lect","6","12","50%","24.4","4","3","3.5","2.5","3.67","3.17","3.83","2.83","3.83","48205 - ARC DSGN STU: EL II","48205 Spring"
"31","Spring","2016","JENNIFER LUCCHINO","ARC","48205","ARC DSGN STU: EL II","B","Lect","5","12","42%","25.8","4.2","4","4","3","3.6","3.4","4.4","3.4","4","48205 - ARC DSGN STU: EL II","48205 Spring"
"32","Spring","2016","MAN KIM","ARC","48205","ARC DSGN STU: EL II","C","Lect","6","12","50%","27","4.83","5","5","4.83","4.67","4.83","4.67","4.83","4.83","48205 - ARC DSGN STU: EL II","48205 Spring"
"33","Spring","2016","MATTHEW MCNUTT","ARC","48205","ARC DSGN STU: EL II","D","Lect","4","12","33%","20.75","4.5","5","4.75","4.75","4.5","4.25","5","4.5","4.75","48205 - ARC DSGN STU: EL II","48205 Spring"
"34","Spring","2016","GERARD DAMIANI","ARC","48215","MATERIALS & ASSEMBLY","A","Lect","23","48","48%","14.91","4.57","4.61","4.61","3.87","4.57","4.36","4.17","4.43","4.22","48215 - MATERIALS & ASSEMBLY","48215 Spring"
"35","Spring","2016","DIANE SHAW","ARC","48240","HIS SRVY WLD ARC URB","A","Lect","47","75","63%","7.02","4.43","4.3","4.3","3.96","4.21","4.3","4.55","4.32","4.06","48240 - HIS SRVY WLD ARC URB","48240 Spring"
"36","Spring","2016","STEPHEN LEE","ARC","48305","ARC DSGN STU:INT II","1","Lect","17","35","49%","26.65","2.94","3.06","3.12","3.12","3.18","3.19","3","2.94","3.12","48305 - ARC DSGN STU:INT II","48305 Spring"
"37","Spring","2016","DANIEL COLVARD","ARC","48305","ARC DSGN STU:INT II","A","Lect","4","11","36%","27","4.5","3.5","4","4","4.25","3.75","2.75","3.5","3.5","48305 - ARC DSGN STU:INT II","48305 Spring"
"38","Spring","2016","STEFANI DANES","ARC","48305","ARC DSGN STU:INT II","B","Lect","9","12","75%","26.33","5","5","4.89","4.78","4.78","4.67","4.89","4.89","4.33","48305 - ARC DSGN STU:INT II","48305 Spring"
"39","Spring","2016","JEFFREY DAVIS","ARC","48305","ARC DSGN STU:INT II","C","Lect","7","12","58%","26","3.43","3.43","3.71","3.43","3.57","3.86","3.29","3.43","3.43","48305 - ARC DSGN STU:INT II","48305 Spring"
"40","Spring","2016","HEATHER WORKINGER","ARC","48332","ARCH EXPL: TCHG LRNG","A3","Lect","4","14","29%","5","5","5","5","4.75","4.75","4.5","5","5","5","48332 - ARCH EXPL: TCHG LRNG","48332 Spring"
"41","Spring","2016","FRANCESCA TORELLO","ARC","48347","IMPPRNT WRTG CREATVS","A","Lect","4","5","80%","6.5","4.5","4","4.25","4.67","5","5","5","4.67","5","48347 - IMPPRNT WRTG CREATVS","48347 Spring"
"42","Spring","2016","DIANE SHAW","ARC","48348","ARCTL HST MEXCO GUAT","A","Lect","5","6","83%","8","5","5","5","5","4.8","5","5","5","5","48348 - ARCTL HST MEXCO GUAT","48348 Spring"
"43","Spring","2016","KAI GUTSCHOW","ARC","48350","POSTWAR MDN ARCH THY","A","Lect","2","4","50%","8","5","4.5","4.5","5","5","5","5","5","5","48350 - POSTWAR MDN ARCH THY","48350 Spring"
"44","Spring","2016","CHRISTINE MONDOR","ARC","48351","HMN FACTORS IN ARCH","A","Lect","20","45","44%","6.4","3.6","3.6","3.55","3.2","3.35","3.65","4.25","3.45","3.16","48351 - HMN FACTORS IN ARCH","48351 Spring"
"45","Spring","2016","WILLIAM COOPER","ARC","48356","COLOR DRAWING","A","Lect","5","7","71%","9.2","5","4.4","4.2","4.4","4","4.2","5","5","4.8","48356 - COLOR DRAWING","48356 Spring"
"46","Spring","2016","VALENTINA VAVASIS","ARC","48380","REAL ESTATE","A","Lect","24","38","63%","6.04","4.88","4.83","4.88","4.79","4.79","4.79","4.96","4.83","4.79","48380 - REAL ESTATE","48380 Spring"
"47","Spring","2016","JOHN FOLAN","ARC","48381","ISSUES","A","Lect","21","35","60%","6.33","4.25","3.95","4.05","3.45","4.15","4.1","3.3","3.6","3.8","48381 - ISSUES","48381 Spring"
"48","Spring","2016","OMER AKIN","ARC","48383","ETHICS","A","Lect","17","32","53%","6.13","3.41","2.94","3","2.29","3","2.94","3.53","3","2.59","48383 - ETHICS","48383 Spring"
"49","Spring","2016","ERIC BROCKMEYER","ARC","48390","PHYS COMP STUDIO","A","Lect","2","7","29%","11","3","2.5","3","3","3.5","3","4.5","3","3.5","48390 - PHYS COMP STUDIO","48390 Spring"
"50","Spring","2016","JOSHUA BARD","ARC","48410","ASOS II","A","Lect","2","9","22%","27","4","4.5","4.5","4","4","4","4.5","4","4.5","48410 - ASOS II","48410 Spring"
"51","Spring","2016","CHRISTINA CIARDULLO","ARC","48410","ASOS II","B","Lect","1","3","33%","27","5","5","5","5","5","4","5","5","5","48410 - ASOS II","48410 Spring"
"52","Spring","2016","GERARD DAMIANI","ARC","48410","ASOS II","C","Lect","3","8","38%","27","4.33","4.33","4.33","5","4.67","4.67","4.67","4.67","4.67","48410 - ASOS II","48410 Spring"
"53","Spring","2016","JOHN FOLAN","ARC","48410","ASOS II","D","Lect","6","7","86%","27","4.83","4.67","4.67","4.33","5","4.5","4.33","4.67","4.5","48410 - ASOS II","48410 Spring"
"54","Spring","2016","HAL HAYES","ARC","48410","ASOS II","E","Lect","4","10","40%","22.25","4.75","4.75","4.75","4.5","4.75","4.75","5","4.75","4.75","48410 - ASOS II","48410 Spring"
"55","Spring","2016","PAUL ROSENBLATT","ARC","48422","HLCST CNTR","A","Lect","2","2","100%","6.5","4.5","4","4","4","4.5","4.5","5","5","5","48422 - HLCST CNTR","48422 Spring"
"56","Spring","2016","MAURICIO BERTET","ARC","48427","CONTEMP ARC","A","Lect","1","3","33%","5","5","5","5","5","5","5","4","5","5","48427 - CONTEMP ARC","48427 Spring"
"57","Spring","2016","SUSAN ZITTERBART","ARC","48442","ASIAN ARCHITECTURE","A","Lect","3","8","38%","4","5","4.67","5","4.67","5","5","5","5","5","48442 - ASIAN ARCHITECTURE","48442 Spring"
"58","Spring","2016","CHARLES ROSENBLUM","ARC","48448","HISTRY SUSTAIN ARCH","A","Lect","7","16","44%","8.5","3.43","2.71","3","2.43","3.29","3.14","3.71","3.14","3.29","48448 - HISTRY SUSTAIN ARCH","48448 Spring"
"59","Spring","2016","DANA CUPKOVA","ARC","48468","ECLGTCS: COMP TECH","A","Lect","8","8","100%","9.25","4.63","3.63","3","4.38","4.38","4.38","4.63","4.5","4.5","48468 - ECLGTCS: COMP TECH","48468 Spring"
"60","Spring","2016","KAI GUTSCHOW","ARC","48497","THESIS PREP","A","Lect","6","11","55%","4.4","4.5","3.83","4.17","3.67","4.33","4","4.67","4.17","3.83","48497 - THESIS PREP","48497 Spring"
"61","Spring","2016","JOSHUA BARD","ARC","48510","ASOS IV","A","Lect","1","2","50%","24","5","4","5","3","5","4","5","4","4","48510 - ASOS IV","48510 Spring"
"62","Spring","2016","CHRISTINA CIARDULLO","ARC","48510","ASOS IV","B","Lect","4","8","50%","24.75","4.75","5","4.75","4.25","4.5","4.5","5","4.75","5","48510 - ASOS IV","48510 Spring"
"63","Spring","2016","GERARD DAMIANI","ARC","48510","ASOS IV","C","Lect","1","3","33%","21","4","4","4","5","4","4","5","5","4","48510 - ASOS IV","48510 Spring"
"64","Spring","2016","ARSCOTT, M. (co-taught)","ARC","48510","ASOS IV","G","Lect","2","4","50%","20.5","5","4","4","5","5","4.5","5","4.5","4.5","48510 - ASOS IV","48510 Spring"
"65","Spring","2016","CUPKOVA, D. (co-taught)","ARC","48510","ASOS IV","G","Lect","2","4","50%","20.5","5","3.5","4","4.5","5","4.5","4.5","4.5","4.5","48510 - ASOS IV","48510 Spring"
"66","Spring","2016","LUBETZ, A. (co-taught)","ARC","48519","ARCH DES ST: TH II","A","Lect","4","7","57%","23","5","4","4.5","4.5","5","4.5","5","4.75","4.75","48519 - ARCH DES ST: TH II","48519 Spring"
"67","Spring","2016","ARSCOTT, M. (co-taught)","ARC","48519","ARCH DES ST: TH II","A","Lect","4","7","57%","23","5","4.25","4.75","5","4.75","5","5","5","4.75","48519 - ARCH DES ST: TH II","48519 Spring"
"68","Spring","2016","CUPKOVA, D. (co-taught)","ARC","48519","ARCH DES ST: TH II","A","Lect","4","7","57%","23","4.75","4","4.5","4.75","4.75","4.75","4.75","4.75","4.5","48519 - ARCH DES ST: TH II","48519 Spring"
"69","Spring","2016","JOHN FOLAN","ARC","48521","UDBS CONSTCTN ADMSTR","A","Lect","3","8","38%","10","4.33","4.33","4.33","3.67","4.67","4","4.33","4.33","4.33","48521 - UDBS CONSTCTN ADMSTR","48521 Spring"
"70","Spring","2016","DARAGH BYRNE","ARC","48528","RES MOB ENV","A","Lect","4","11","36%","8","4","3","3.25","3.5","3.5","3.25","4","3.5","3","48528 - RES MOB ENV","48528 Spring"
"71","Spring","2016","rtursky","ARC","48545","MKG INTL","A","Lect","2","8","25%","11","3.5","3.5","3","2","2.5","2.5","2","2.5","4","48545 - MKG INTL","48545 Spring"
"72","Spring","2016","rtursky","ARC","48545","MKG INTL","B","Lect","2","2","100%","5","4.5","4.5","4.5","4.5","4.5","4.5","4.5","4.5","4.5","48545 - MKG INTL","48545 Spring"
"73","Spring","2016","rtursky","ARC","48555","INTRO ARC ROBO","A","Lect","5","10","50%","13","4.6","3.8","4","3.8","4","4.4","4.2","3.8","4","48555 - INTRO ARC ROBO","48555 Spring"
"74","Spring","2016","SCOTT SMITH","ARC","48564","FURNITURE DES & CONS","A","Lect","1","4","25%","14","5","4","5","5","3","4","4","4","5","48564 - FURNITURE DES & CONS","48564 Spring"
"75","Spring","2016","KRISTEN KURLAND","ARC","48569","GIS CAFM","A","Lect","16","16","100%","7.81","4.44","4.75","4.75","4.31","4.69","4.69","4.69","4.44","4.56","48569 - GIS CAFM","48569 Spring"
"76","Spring","2016","CYNTHIA LIMAURO","ARC","48587","ARCH LIGHTING DESIGN","A","Lect","3","5","60%","7","4.33","4.67","4.67","4.33","4.67","4.33","4.67","4.67","4.67","48587 - ARCH LIGHTING DESIGN","48587 Spring"
"77","Spring","2016","DANA CUPKOVA","ARC","48686","ECLGTCS: COMP TECH","A","Lect","6","7","86%","8.5","4.67","4.17","4.17","4.5","4.33","4.17","5","4.33","4.33","48686 - ECLGTCS: COMP TECH","48686 Spring"
"78","Spring","2016","STEPHEN QUICK","ARC","48706","URBAN DESIGN STUDIO","A","Lect","8","10","80%","17.75","4.13","3.88","4","3.88","3.88","4","4.5","3.88","3.88","48706 - URBAN DESIGN STUDIO","48706 Spring"
"79","Spring","2016","OMER AKIN","ARC","48711","PARADGMS RESCH ARCH","A3","Lect","8","13","62%","8.38","4.5","5","4.75","4.5","4.5","4.38","4.63","4.63","4.25","48711 - PARADGMS RESCH ARCH","48711 Spring"
"80","Spring","2016","DONALD CARTER","ARC","48712","MUD GRADUATE SEMINAR","A","Lect","9","10","90%","3.88","4.56","4.33","4.11","4.33","4","4.11","4.33","4.25","4","48712 - MUD GRADUATE SEMINAR","48712 Spring"
"81","Spring","2016","RAY GASTIL","ARC","48720","PLNNG DES","A","Lect","7","7","100%","7","4.43","3.86","3.86","4.57","4.29","4.14","4.71","4.29","4.29","48720 - PLNNG DES","48720 Spring"
"82","Spring","2016","KHEE POH LAM","ARC","48721","BLDG CONTRL DIAGNSTC","A","Lect","12","13","92%","14.83","4.5","4.08","4.25","4.25","4.33","4.67","4.75","4.33","4.42","48721 - BLDG CONTRL DIAGNSTC","48721 Spring"
"83","Spring","2016","VOLKER HARTKOPF","ARC","48723","PERF ADV BLDNG SYSTM","A","Lect","20","24","83%","7.55","4.1","3.15","3.2","3.58","4","3.55","4.35","3.3","3.1","48723 - PERF ADV BLDNG SYSTM","48723 Spring"
"84","Spring","2016","VALENTINA VAVASIS","ARC","48725","REAL EST DSGN DVLPMT","A","Lect","18","22","82%","8","4.56","4.33","4.28","4.56","4.39","4.41","4.61","4.28","4.17","48725 - REAL EST DSGN DVLPMT","48725 Spring"
"85","Spring","2016","LOFTNESS, V. (co-taught)","ARC","48731","SUSTNB DES SYN PREP","A","Lect","9","10","90%","17.67","4.89","4.33","4.56","4.89","5","4.89","5","4.89","4.78","48731 - SUSTNB DES SYN PREP","48731 Spring"
"86","Spring","2016","COCHRAN, E. (co-taught)","ARC","48731","SUSTNB DES SYN PREP","A","Lect","9","10","90%","17.38","4.67","4.22","4.56","4.56","4.67","4.67","4.67","4.67","4.67","48731 - SUSTNB DES SYN PREP","48731 Spring"
"87","Spring","2016","CUPKOVA, D. (co-taught)","ARC","48731","SUSTNB DES SYN PREP","A","Lect","9","10","90%","17.38","4","3.67","3.89","4.11","3.78","3.78","4.44","4.11","4.44","48731 - SUSTNB DES SYN PREP","48731 Spring"
"88","Spring","2016","JAKOB MARSICO","ARC","48734","RCTV SP MD ARC","A","Lect","3","7","43%","16.33","4.33","3","3.33","4.33","4","3","5","4","4","48734 - RCTV SP MD ARC","48734 Spring"
"89","Spring","2016","RAMESH KRISHNAMURTI","ARC","48747","SHAPE GRM","W","Lect","5","5","100%","14.4","4.6","4.2","4.2","4.4","4.4","4","4.6","4.2","4","48747 - SHAPE GRM","48747 Spring"
"90","Spring","2016","NINA BAIRD","ARC","48752","ZERO ENERGY HOUSING","A","Lect","11","12","92%","10.18","5","4.82","4.82","5","5","5","5","4.91","5","48752 - ZERO ENERGY HOUSING","48752 Spring"
"91","Spring","2016","DARAGH BYRNE","ARC","48758","RES MOB ENV EM2","A","Lect","2","2","100%","12.5","5","4","4","4.5","4","4","5","4.5","3","48758 - RES MOB ENV EM2","48758 Spring"
"92","Spring","2016","KRISTEN KURLAND","ARC","48781","SPTL ANLY INFRTC PLN","A","Lect","11","11","100%","11","4.45","4.64","4.64","4.55","4.55","4.73","4.73","4.55","4.45","48781 - SPTL ANLY INFRTC PLN","48781 Spring"
"93","Spring","2016","ERICA COCHRAN","ARC","48792","PHD INDEP STUDY","E","Lect","1","3","33%","11","5","5","5","5","5","5","5","5","5","48792 - PHD INDEP STUDY","48792 Spring"
"94","Spring","2016","KHEE POH LAM","ARC","48792","PHD INDEP STUDY","K","Lect","3","4","75%","27","5","5","5","5","5","5","5","5","5","48792 - PHD INDEP STUDY","48792 Spring"
"95","Spring","2016","OMER AKIN","ARC","48792","PHD INDEP STUDY","O","Lect","1","3","33%","5","5","5","5","5","5","5","5","5","5","48792 - PHD INDEP STUDY","48792 Spring"
"96","Spring","2016","RAMESH KRISHNAMURTI","ARC","48792","PHD INDEP STUDY","R","Lect","1","3","33%","11","5","5","5","4","5","5","5","5","5","48792 - PHD INDEP STUDY","48792 Spring"
"97","Spring","2016","VIVIAN LOFTNESS","ARC","48792","PHD INDEP STUDY","V","Lect","1","3","33%","","5","4","5","5","5","4","5","5","5","48792 - PHD INDEP STUDY","48792 Spring"
"98","Spring","2016","OMER AKIN","ARC","48806","PRINC OF RSRCH II","A","Lect","2","2","100%","8","4.5","5","5","5","5","5","5","5","5","48806 - PRINC OF RSRCH II","48806 Spring"
"99","Spring","2016","KHEE POH LAM","ARC","48807","PRINCIPLES OF PRACT.","A","Lect","2","2","100%","8","5","4.5","4.5","5","5","5","5","5","5","48807 - PRINCIPLES OF PRACT.","48807 Spring"
"100","Spring","2016","AZIZAN ABDUL-AZIZ","ARC","48808","DIRECTED STUDY II","A","Lect","2","2","100%","9.5","5","5","5","5","5","5","5","5","5","48808 - DIRECTED STUDY II","48808 Spring"
"101","Spring","2016","ERICA COCHRAN","ARC","48809","INTL EXCHANGE II","A","Lect","2","2","100%","5","4.5","2.5","3","3.5","3","3","5","3.5","3.5","48809 - INTL EXCHANGE II","48809 Spring"
"102","Spring","2016","fmarion","ARC","48810","COMPARATIVE ANALYSIS","A","Lect","2","2","100%","11","5","5","5","5","4.5","4.5","5","5","5","48810 - COMPARATIVE ANALYSIS","48810 Spring"
"103","Spring","2016","MARIA ELENA VERSARI","ART","60109","ADV IN ARTS TIME","A","Lect","9","21","43%","5","4.44","3.78","4.11","4.11","4.56","4.56","4.67","3.78","3.22","60109 - ADV IN ARTS TIME","60109 Spring"
"104","Spring","2016","ALEXANDER YOUNG","ART","60110","EMS MOVING IMAGE","A","Lect","6","8","75%","10","4.17","4","4.17","4.67","4.33","4.33","4.83","4.17","4.17","60110 - EMS MOVING IMAGE","60110 Spring"
"105","Spring","2016","ALISHA WORMSLEY","ART","60110","EMS MOVING IMAGE","B","Lect","8","15","53%","8","4","4","4.25","4.13","4.13","4.13","4.5","4.13","4.13","60110 - EMS MOVING IMAGE","60110 Spring"
"106","Spring","2016","ANGELA WASHKO","ART","60110","EMS MOVING IMAGE","C","Lect","7","13","54%","13.71","4.57","4.57","4.29","4.71","4.29","4.57","4.14","4.43","4.57","60110 - EMS MOVING IMAGE","60110 Spring"
"107","Spring","2016","SCOTT ANDREW","ART","60110","EMS MOVING IMAGE","D","Lect","12","17","71%","11.75","4.92","4.92","4.83","4.92","4.58","4.92","4.92","4.83","4.83","60110 - EMS MOVING IMAGE","60110 Spring"
"108","Spring","2016","SPENCER DIAZ","ART","60125","INTRO TO 3D ANIMATN","A3","Lect","9","22","41%","11.78","4.67","4.67","4.67","4.89","4.89","4.56","4.78","4.67","4.78","60125 - INTRO TO 3D ANIMATN","60125 Spring"
"109","Spring","2016","SPENCER DIAZ","ART","60126","INTRO TO MOTION CAP","A4","Lect","6","9","67%","9.5","4.83","4.83","4.83","4.83","4.67","4.67","4.83","4.67","4.67","60126 - INTRO TO MOTION CAP","60126 Spring"
"110","Spring","2016","JOSEPH MANNINO","ART","60131","3D MEDIA STUDIO II","A3","Lect","6","11","55%","12.17","4.83","4.67","4.83","4.33","4.67","4.67","4.8","4.8","4.4","60131 - 3D MEDIA STUDIO II","60131 Spring"
"111","Spring","2016","JOSEPH MANNINO","ART","60131","3D MEDIA STUDIO II","A4","Lect","4","7","57%","10.25","4.75","4.75","4.75","4.75","5","5","4.5","4.5","4.5","60131 - 3D MEDIA STUDIO II","60131 Spring"
"112","Spring","2016","CAROL KUMATA","ART","60131","3D MEDIA STUDIO II","B3","Lect","5","9","56%","11.6","3.8","3.6","3.8","4.4","3.8","3.4","4.6","3.8","3.8","60131 - 3D MEDIA STUDIO II","60131 Spring"
"113","Spring","2016","CAROL KUMATA","ART","60131","3D MEDIA STUDIO II","B4","Lect","2","12","17%","9.5","4.5","4.5","4.5","4.5","4.5","4.5","5","5","5","60131 - 3D MEDIA STUDIO II","60131 Spring"
"114","Spring","2016","ROBERT BINGHAM","ART","60131","3D MEDIA STUDIO II","C3","Lect","1","12","8%","8","5","5","5","5","5","5","5","5","5","60131 - 3D MEDIA STUDIO II","60131 Spring"
"115","Spring","2016","ROBERT BINGHAM","ART","60131","3D MEDIA STUDIO II","C4","Lect","10","13","77%","10.1","5","4.5","4.5","4.7","4.4","4.3","4.8","4.7","4.8","60131 - 3D MEDIA STUDIO II","60131 Spring"
"116","Spring","2016","DAKOTAH KONICEK","ART","60131","3D MEDIA STUDIO II","D3","Lect","3","5","60%","11","4.67","4.33","4.67","5","4.67","5","5","4.67","4.33","60131 - 3D MEDIA STUDIO II","60131 Spring"
"117","Spring","2016","DAKOTAH KONICEK","ART","60131","3D MEDIA STUDIO II","D4","Lect","3","5","60%","9.5","5","4","4.33","4.67","4.33","5","5","4.67","4.67","60131 - 3D MEDIA STUDIO II","60131 Spring"
"118","Spring","2016","JAMIE GRUZSKA","ART","60141","B & W PHOTOGRAPHY I","A","Lect","1","4","25%","11","5","4","5","5","4","4","5","5","5","60141 - B & W PHOTOGRAPHY I","60141 Spring"
"119","Spring","2016","KRISTEN KOVAK","ART","60157","DRAWING NON-MAJORS","A","Lect","9","12","75%","12.33","5","4.33","4.67","4.56","4.56","4.67","5","4.78","4.56","60157 - DRAWING NON-MAJORS","60157 Spring"
"120","Spring","2016","DEVAN SHIMOYAMA","ART","60160","2D MDA STD: IMAGING","A","Lect","7","13","54%","10.14","4.57","4.29","4.71","5","5","4.86","5","4.57","4.57","60160 - 2D MDA STD: IMAGING","60160 Spring"
"121","Spring","2016","ANDREW JOHNSON","ART","60160","2D MDA STD: IMAGING","B","Lect","7","15","47%","11.43","4.57","3.86","4","4.14","4.29","4","4.43","4.29","4.43","60160 - 2D MDA STD: IMAGING","60160 Spring"
"122","Spring","2016","ANDREW JOHNSON","ART","60160","2D MDA STD: IMAGING","C","Lect","9","15","60%","11.44","4.67","3.78","3.89","4.44","4.44","4.22","4.56","4.67","4.56","60160 - 2D MDA STD: IMAGING","60160 Spring"
