day,PH,temp,density,density_delta,size,size_delta
22,7.8,10,6.6135,0.46488,936.494,88.759
29,7.8,10,4.97607,-1.63743,769.967,-166.527
1,7.8,12,7.9346,0,368.241,0
8,7.8,12,6.08228,-1.85232,710.932,342.691
15,7.8,12,5.77789,-0.30439,854.703,143.771
22,7.8,12,5.87932,0.10143,915.658,60.955
29,7.8,12,4.83737,-1.04195,1009.16,93.502
1,7.8,14,8.62994,0,411.864,0
8,7.8,14,6.74407,-1.88587,750.301,338.437
15,7.8,14,5.5651,-1.17897,935.068,184.767
22,7.8,14,6.02657,0.46147,878.851,-56.217
29,7.8,14,4.98825,-1.03832,1010.86,132.009
1,7.3,8,8.8849,0,402.432,0
8,7.3,8,6.36705,-2.51785,485.35,82.918
15,7.3,8,6.50336,0.13631,596.693,111.343
22,7.3,8,4.92527,-1.57809,669.43,72.737
29,7.3,8,6.00888,1.08361,679.197,9.767
1,7.3,10,8.39816,0,387.105,0
8,7.3,10,6.04131,-2.35685,520.343,133.238
15,7.3,10,5.74071,-0.3006,601.851,81.508
22,7.3,10,4.9669,-0.77381,730.298,128.447
29,7.3,10,4.51848,-0.44842,617.576,-112.722
1,7.3,12,7.56375,0,426.012,0
8,7.3,12,5.70521,-1.85854,541.137,115.125
15,7.3,12,4.783,-0.92221,715.509,174.372
22,7.3,12,4.24589,-0.53711,737.527,22.018
29,7.3,12,3.77542,-0.47047,796.363,58.836
1,7.3,14,7.5174,0,358.809,0
8,7.3,14,5.78839,-1.72901,690.537,331.728
15,7.3,14,5.32212,-0.46627,750.932,60.395
22,7.3,14,4.52569,-0.79643,767.709,16.777
29,7.3,14,4.04065,-0.48504,857.12,89.411
